,RTYPE,STYPE,SPED,SIZE,CHARTER,VALID_NUM,API05B,ST_RANK,SIM_RANK,AA_NUM,AA_SIG,AI_NUM,AI_SIG,AS_NUM,AS_SIG,FI_NUM,FI_SIG,HI_NUM,HI_SIG,PI_NUM,PI_SIG,WH_NUM,WH_SIG,SD_NUM,SD_SIG,EL_NUM,EL_SIG,DI_NUM,DI_SIG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,P_FDAY,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,YR_RND,SMOB,CBMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,PEN_2,PEN_35,PEN_6,PEN_78,PEN_911,ENROLL,PARENT_OPT,TESTED,SCI,VCST_E28,PCST_E28,VCST_E911,PCST_E911,CW_CSTE,VCST_M28,PCST_M28,VCST_M911,PCST_M911,CW_CSTM,VCST_S28,PCST_S28,VCST_S911,PCST_S911,CW_CSTS,VCST_H28,PCST_H28,VCST_H911,PCST_H911,CW_CSTH,VNRT_R28,PNRT_R28,CW_NRTR,VNRT_L28,PNRT_L28,CW_NRTL,VNRT_S28,PNRT_S28,CW_NRTS,VNRT_M28,PNRT_M28,CW_NRTM,VCHS_E911,PCHS_E911,CW_CHSE,VCHS_M911,PCHS_M911,CW_CHSM,TOT_28,TOT_911
494,S,H,A,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6,0,94,53,0,0,0,0,0,6,No,88,12,76,NA,NA,NA,100,12,29,35,18,6,2.76,100,0,0,0,0,0,100,17,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4903,S,E,NA,NA,NA,516,830,8,2,6,No,4,No,181,Yes,12,No,101,Yes,1,No,207,Yes,133,Yes,128,Yes,38,No,1,1,35,3,19,0,40,25,36,6,0,20,9,7,No,3,97,97,24,30,NA,63,3,16,32,36,14,3.42,100,0,26,74,0,0,0,535,0,534,181.8834,516,247.68,0,0,53.5,515,164.8,0,0,35.6,134,26.8,0,0,5.8,0,0,0,0,0,119,7.14,1.5,119,3.57,0.8,119,3.57,0.8,119,9.52,2.1,0,0,0,0,0,0,463.08,0
3593,S,E,NA,NA,NA,679,658,2,8,30,No,0,No,2,No,1,No,634,Yes,3,No,9,No,642,Yes,473,Yes,35,No,6,0,0,0,91,0,1,93,31,10,1,52,21,5,Yes,9,91,93,19,29,30,94,60,28,10,1,1,1.55,83,12,15,44,11,30,0,745,0,745,154.95647,679,325.92,0,0,52.4,679,217.28,0,0,34.9,89,17.8,0,0,2.9,89,17.8,0,0,2.9,219,13.14,2.1,219,6.57,1.1,218,6.54,1.1,218,17.44,2.8,0,0,0,0,0,0,622.49,0
9026,S,E,NA,NA,NA,102,697,3,1,1,No,11,No,4,No,0,No,5,No,1,No,79,Yes,45,No,1,No,15,No,1,10,4,0,5,1,79,44,49,5,0,1,0,15,No,5,95,95,21,25,20,0,0,0,0,0,0,NA,100,9,22,62,16,0,0,108,1,107,174.12867,102,48.96,0,0,53,102,32.64,0,0,35.3,24,4.8,0,0,5.2,0,0,0,0,0,30,1.8,1.9,30,0.9,1,30,0.9,1,30,2.4,2.6,0,0,0,0,0,0,92.4,0
1001,S,E,NA,NA,NA,405,833,8,9,26,No,5,No,27,No,10,No,98,Yes,4,No,234,Yes,149,Yes,27,No,33,No,6,1,8,3,25,1,55,37,36,5,0,6,0,8,No,10,90,91,21,32,NA,100,4,25,33,22,16,3.22,100,0,18,62,20,0,0,449,0,449,174.97027,405,194.4,0,0,54.4,405,129.6,0,0,36.3,96,19.2,0,0,5.4,0,0,0,0,0,71,4.26,1.2,71,2.13,0.6,71,2.13,0.6,71,5.68,1.6,0,0,0,0,0,0,357.4,0
2323,S,E,NA,NA,NA,510,807,8,9,7,No,5,No,33,No,3,No,370,Yes,0,No,92,Yes,175,Yes,122,Yes,61,No,1,1,6,1,73,0,18,33,96,5,0,17,8,12,No,5,95,96,21,33,NA,100,3,70,12,11,3,2.4,97,0,24,76,0,0,0,535,0,535,170.07405,510,244.8,0,0,53.2,510,163.2,0,0,35.5,134,26.8,0,0,5.8,0,0,0,0,0,127,7.62,1.7,127,3.81,0.8,127,3.81,0.8,127,10.16,2.2,0,0,0,0,0,0,460.2,0
4228,S,H,A,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,0,0,0,0,67,NA,0,0,0,NA,NA,0,No,NA,0,0,NA,NA,15,67,0,50,50,0,0,2.5,100,0,0,0,0,0,100,3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10265,S,E,NA,NA,NA,256,782,7,2,6,No,5,No,3,No,1,No,93,Yes,0,No,145,Yes,87,Yes,19,No,28,No,2,2,1,0,36,0,56,33,48,6,1,7,0,11,No,2,98,99,19,34,NA,86,9,18,33,23,17,3.2,96,0,24,76,0,0,0,264,1,261,177.02963,256,122.88,0,0,53.6,256,81.92,0,0,35.7,62,12.4,0,0,5.4,0,0,0,0,0,61,3.66,1.6,61,1.83,0.8,61,1.83,0.8,61,4.88,2.1,0,0,0,0,0,0,229.4,0
7277,S,H,NA,NA,NA,1083,540,1,3,279,Yes,0,No,97,No,7,No,663,Yes,17,No,20,No,844,Yes,616,Yes,124,Yes,27,0,8,1,60,2,2,73,0,8,0,46,15,11,No,15,84,88,NA,38,30,57,32,37,14,14,4,2.21,94,11,0,0,0,45,55,1287,0,1282,147.59968,480,230.4,603,180.9,37.7,476,152.32,603,120.6,25,0,0,598,89.7,8.2,257,51.4,350,78.75,11.9,218,13.08,1.2,218,6.54,0.6,216,6.48,0.6,216,17.28,1.6,236,70.8,6.5,239,71.7,6.6,477.5,612.45
4583,S,H,NA,NA,NA,1888,677,5,2,46,No,5,No,65,No,40,No,934,Yes,10,No,781,Yes,559,Yes,477,Yes,165,Yes,2,0,3,2,50,1,41,26,0,19,16,21,7,9,No,4,96,98,NA,NA,31,82,17,20,27,21,14,2.95,89,7,0,0,0,0,100,1992,3,1960,164.22682,0,0,1886,565.8,29.9,0,0,1888,377.6,19.9,0,0,1877,281.55,14.9,0,0,1174,264.15,13.9,0,0,0,0,0,0,0,0,0,0,0,0,678,203.4,10.7,676,202.8,10.7,0,1895.3
1907,S,E,NA,NA,NA,592,638,1,3,31,No,3,No,5,No,2,No,487,Yes,0,No,64,No,592,Yes,211,Yes,70,No,6,0,1,0,82,0,11,100,9,3,23,33,4,12,No,6,94,94,20,31,NA,97,32,35,26,6,0,2.07,100,0,0,100,0,0,0,629,0,629,158.54131,592,284.16,0,0,53,592,189.44,0,0,35.3,254,50.8,0,0,9.5,0,0,0,0,0,58,3.48,0.6,58,1.74,0.3,58,1.74,0.3,58,4.64,0.9,0,0,0,0,0,0,536,0
8376,S,E,NA,NA,NA,456,675,3,7,7,No,3,No,0,No,0,No,441,Yes,0,No,5,No,456,Yes,290,Yes,57,No,2,1,0,0,96,0,1,100,38,2,1,64,3,13,No,4,96,97,21,27,NA,83,53,26,15,4,2,1.76,100,3,20,57,23,0,0,477,6,471,157.36663,456,218.88,0,0,55,453,144.96,0,0,36.5,85,17,0,0,4.3,0,0,0,0,0,84,5.04,1.3,84,2.52,0.6,83,2.49,0.6,84,6.72,1.7,0,0,0,0,0,0,397.61,0
8794,S,E,NA,NA,NA,262,728,5,8,7,No,3,No,31,No,9,No,164,Yes,5,No,43,No,193,Yes,153,Yes,28,No,2,1,11,4,64,2,16,70,49,4,10,45,14,10,No,11,89,90,19,27,NA,70,26,50,17,5,2,2.06,96,4,26,74,0,0,0,297,0,294,162.42415,262,125.76,0,0,53.4,262,83.84,0,0,35.6,65,13,0,0,5.5,0,0,0,0,0,65,3.9,1.7,65,1.95,0.8,65,1.95,0.8,65,5.2,2.2,0,0,0,0,0,0,235.6,0
3718,S,E,NA,NA,NA,300,913,10,3,14,No,1,No,154,Yes,4,No,44,No,0,No,83,Yes,23,No,16,No,30,No,5,0,51,1,14,0,27,6,45,12,0,4,5,10,No,4,96,96,20,33,NA,93,2,4,9,41,44,4.22,100,0,20,80,0,0,0,313,1,312,190.22517,300,144,0,0,52.9,300,96,0,0,35.3,85,17,0,0,6.2,0,0,0,0,0,75,4.5,1.7,75,2.25,0.8,75,2.25,0.8,75,6,2.2,0,0,0,0,0,0,272,0
6643,S,E,NA,NA,NA,488,622,1,2,8,No,0,No,23,No,8,No,425,Yes,4,No,20,No,488,Yes,344,Yes,27,No,2,0,5,1,87,1,4,100,20,1,0,66,8,5,No,10,90,90,21,28,NA,93,49,33,11,5,3,1.81,91,3,21,57,22,0,0,541,0,541,157.04111,488,234.24,0,0,55.2,487,155.84,0,0,36.7,85,17,0,0,4,0,0,0,0,0,88,5.28,1.2,88,2.64,0.6,88,2.64,0.6,88,7.04,1.7,0,0,0,0,0,0,424.68,0
6999,S,E,NA,NA,NA,364,729,5,2,13,No,1,No,2,No,11,No,262,Yes,5,No,70,Yes,180,Yes,103,Yes,40,No,4,0,1,3,72,1,20,50,18,9,0,28,5,11,No,6,94,96,19,30,NA,42,11,27,31,16,15,2.97,100,0,18,59,23,0,0,387,0,387,169.76649,364,174.72,0,0,54.7,364,116.48,0,0,36.5,72,14.4,0,0,4.5,0,0,0,0,0,69,4.14,1.3,69,2.07,0.6,67,2.01,0.6,67,5.36,1.7,0,0,0,0,0,0,319.18,0
8183,S,E,NA,NA,NA,576,824,8,6,12,No,1,No,38,No,5,No,180,Yes,12,No,327,Yes,139,Yes,144,Yes,52,No,2,0,6,1,31,2,57,21,25,10,1,18,8,9,No,2,98,98,20,29,NA,97,11,14,28,29,18,3.29,100,0,14,41,15,30,0,593,5,587,177.33057,576,276.48,0,0,52.8,573,183.36,0,0,35,87,17.4,0,0,3.3,84,16.8,0,0,3.2,147,8.82,1.7,147,4.41,0.8,146,4.38,0.8,146,11.68,2.2,0,0,0,0,0,0,523.33,0
5828,S,M,NA,NA,NA,808,698,5,10,113,Yes,3,No,32,No,9,No,483,Yes,5,No,163,Yes,578,Yes,255,Yes,47,No,14,0,4,1,59,1,20,67,0,7,0,18,15,6,No,8,92,94,NA,NA,29,92,35,43,8,6,8,2.1,93,10,0,0,0,100,0,873,0,872,157.10118,808,387.84,0,0,48.1,807,258.24,0,0,32.1,0,0,0,0,0,426,85.2,0,0,10.6,373,22.38,2.8,373,11.19,1.4,371,11.13,1.4,372,29.76,3.7,0,0,0,0,0,0,805.74,0
4958,S,E,NA,NA,NA,446,682,3,6,1,No,0,No,56,No,1,No,373,Yes,2,No,13,No,352,Yes,327,Yes,35,No,0,0,12,0,84,1,3,79,38,0,0,68,14,8,No,10,91,95,21,32,NA,12,25,37,17,18,3,2.38,100,0,19,60,20,0,0,492,0,492,159.79454,446,214.08,0,0,54.7,446,142.72,0,0,36.5,87,17.4,0,0,4.4,0,0,0,0,0,85,5.1,1.3,85,2.55,0.7,85,2.55,0.7,85,6.8,1.7,0,0,0,0,0,0,391.2,0
2348,S,E,NA,NA,NA,374,630,1,2,1,No,2,No,1,No,0,No,367,Yes,0,No,3,No,331,Yes,244,Yes,33,No,0,0,0,0,97,0,2,85,54,1,0,61,8,9,No,7,94,94,19,31,NA,99,39,39,15,6,1,1.91,90,3,27,73,0,0,0,401,3,398,159.47433,374,179.52,0,0,53.5,374,119.68,0,0,35.7,80,16,0,0,4.8,0,0,0,0,0,101,6.06,1.8,101,3.03,0.9,101,3.03,0.9,101,8.08,2.4,0,0,0,0,0,0,335.4,0
527,S,H,A,S,NA,41,499,B,B,0,No,4,No,0,No,0,No,1,No,0,No,35,No,29,No,0,No,4,No,0,6,0,2,6,1,83,52,0,0,0,1,2,9,No,51,48,48,NA,NA,NA,41,8,42,31,17,2,2.63,90,0,0,2,5,30,64,127,22,88,NA,14,6.72,26,7.8,34.7,13,4.16,27,5.4,22.8,0,0,27,4.05,9.7,8,1.6,17,3.825,13,1,0.06,0.1,1,0.03,0.1,1,0.03,0.1,1,0.08,0.2,14,4.2,10,13,3.9,9.3,12.68,29.175
4810,S,E,NA,NA,NA,363,845,9,2,4,No,3,No,74,Yes,7,No,66,Yes,3,No,206,Yes,36,No,84,No,50,No,1,1,22,2,18,1,55,9,35,5,0,13,13,13,No,5,95,95,19,30,NA,96,1,8,21,41,27,3.85,92,0,18,62,20,0,0,384,1,383,182.50437,363,174.24,0,0,54.6,363,116.16,0,0,36.4,79,15.8,0,0,5,0,0,0,0,0,64,3.84,1.2,64,1.92,0.6,64,1.92,0.6,64,5.12,1.6,0,0,0,0,0,0,319,0
6213,S,E,NA,NA,NA,339,647,2,3,37,No,1,No,116,Yes,1,No,160,Yes,4,No,20,No,339,Yes,238,Yes,38,No,11,1,36,0,45,1,6,100,54,1,9,73,2,11,No,9,91,92,20,29,NA,94,57,24,14,2,3,1.73,91,0,27,73,0,0,0,368,0,368,159.90398,339,162.72,0,0,53.6,337,107.84,0,0,35.5,78,15.6,0,0,5.1,0,0,0,0,0,88,5.28,1.7,88,2.64,0.9,88,2.64,0.9,88,7.04,2.3,0,0,0,0,0,0,303.76,0
5844,S,H,A,S,NA,36,460,B,B,4,No,3,No,0,No,0,No,22,No,1,No,5,No,24,No,0,No,5,No,8,3,0,0,56,1,22,66,0,0,0,0,0,6,No,59,39,39,NA,NA,NA,52,33,41,10,16,0,2.08,100,0,0,0,0,0,100,99,0,93,NA,0,0,36,10.8,24.5,0,0,36,7.2,16.3,0,0,36,5.4,12.2,0,0,32,7.2,16.3,0,0,0,0,0,0,0,0,0,0,0,0,22,6.6,15,23,6.9,15.6,0,44.1
7410,S,E,NA,NA,NA,571,824,8,8,63,No,2,No,97,Yes,145,Yes,100,Yes,13,No,151,Yes,258,Yes,140,Yes,66,No,12,1,16,25,18,2,26,46,46,18,0,27,2,11,No,8,92,93,19,33,NA,78,5,26,34,26,8,3.07,100,0,24,76,0,0,0,621,2,619,176.20284,571,274.08,0,0,53.3,569,182.08,0,0,35.4,168,33.6,0,0,6.5,0,0,0,0,0,121,7.26,1.4,121,3.63,0.7,121,3.63,0.7,120,9.6,1.9,0,0,0,0,0,0,513.88,0
392,S,M,A,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0,0,0,0,0,100,0,0,0,0,0,0,No,67,33,33,NA,NA,NA,100,0,100,0,0,0,2,100,0,0,0,0,33,67,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,S,H,NA,NA,NA,1406,674,5,6,585,Yes,9,No,359,Yes,18,No,246,Yes,17,No,162,Yes,787,Yes,302,Yes,146,Yes,43,1,24,1,17,1,11,52,0,21,1,12,10,12,No,4,96,98,NA,NA,29,73,14,27,20,27,12,2.95,87,1,0,0,0,0,100,1527,8,1462,158.40508,0,0,1399,419.7,29.9,0,0,1405,281,20,0,0,1381,207.15,14.7,0,0,832,187.2,13.3,0,0,0,0,0,0,0,0,0,0,0,0,520,156,11.1,516,154.8,11,0,1405.85
2567,S,E,NA,NA,NA,667,693,3,8,153,Yes,0,No,29,No,9,No,458,Yes,6,No,12,No,587,Yes,395,Yes,81,No,23,0,4,2,68,1,2,86,2,0,0,56,4,11,No,7,94,94,21,29,NA,70,42,26,22,10,1,2.01,100,2,21,59,20,0,0,713,0,713,158.21535,667,320.16,0,0,55.3,667,213.44,0,0,36.8,103,20.6,0,0,3.6,0,0,0,0,0,126,7.56,1.3,126,3.78,0.7,126,3.78,0.7,126,10.08,1.7,0,0,0,0,0,0,579.4,0
2249,S,H,NA,NA,NA,1868,610,2,6,272,Yes,1,No,33,No,25,No,1407,Yes,25,No,98,No,1402,Yes,930,Yes,225,Yes,15,0,2,1,75,1,5,69,0,13,0,38,14,12,No,9,91,94,NA,NA,30,46,36,33,19,10,2,2.08,75,4,0,0,0,0,100,2057,0,2043,149.87722,0,0,1865,559.5,29,0,0,1868,373.6,19.4,0,0,1850,277.5,14.4,0,0,1162,261.45,13.6,0,0,0,0,0,0,0,0,0,0,0,0,758,227.4,11.8,762,228.6,11.9,0,1928.05
9358,S,M,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,17,0,67,50,0,0,0,0,0,33,No,0,67,67,NA,NA,NA,50,33,67,0,0,0,1.67,100,0,0,33,0,67,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10333,S,E,NA,NA,NA,591,853,9,9,7,No,4,No,22,No,6,No,162,Yes,4,No,348,Yes,155,Yes,115,Yes,85,No,1,1,4,1,28,1,59,26,30,9,3,18,2,14,No,2,98,99,20,30,NA,95,9,14,19,34,25,3.53,97,7,0,100,0,0,0,606,3,603,178.35624,589,282.72,0,0,51.7,590,188.8,0,0,34.5,202,40.4,0,0,7.4,0,0,0,0,0,174,10.44,1.9,174,5.22,1,174,5.22,1,174,13.92,2.5,0,0,0,0,0,0,546.72,0
9222,S,H,NA,NA,Y,192,793,9,10,27,No,3,No,3,No,2,No,15,No,1,No,136,Yes,11,No,1,No,5,No,13,2,2,1,10,1,67,6,0,1,0,0,0,2,No,24,77,80,NA,NA,18,98,2,19,44,20,16,3.31,57,39,0,0,0,0,100,249,1,248,162.04531,0,0,192,57.6,27.8,0,0,192,38.4,18.5,0,0,192,28.8,13.9,0,0,137,30.825,14.9,0,0,0,0,0,0,0,0,0,0,0,0,81,24.3,11.7,91,27.3,13.2,0,207.225
2610,S,E,NA,NA,NA,363,740,5,6,101,Yes,1,No,30,No,5,No,136,Yes,3,No,82,Yes,229,Yes,106,Yes,45,No,27,0,8,1,38,1,23,62,46,0,1,23,9,13,No,8,92,98,19,24,NA,92,15,30,32,17,6,2.69,100,0,22,78,0,0,0,393,0,393,166.55985,363,174.24,0,0,53.3,363,116.16,0,0,35.5,96,19.2,0,0,5.9,0,0,0,0,0,88,5.28,1.6,88,2.64,0.8,88,2.64,0.8,88,7.04,2.2,0,0,0,0,0,0,327.2,0
5210,S,E,NA,NA,NA,911,718,4,5,20,No,2,No,51,No,3,No,709,Yes,4,No,94,No,547,Yes,416,Yes,149,Yes,2,0,5,0,77,0,10,53,33,7,0,34,14,16,No,6,93,94,21,32,31,80,28,33,27,8,5,2.27,98,0,16,55,11,18,0,989,0,985,164.26531,911,437.28,0,0,53,909,290.88,0,0,35.2,159,31.8,0,0,3.9,91,18.2,0,0,2.2,236,14.16,1.7,236,7.08,0.9,236,7.08,0.9,236,18.88,2.3,0,0,0,0,0,0,825.36,0
9073,D,2,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,29,0,71,29,14,0,0,0,0,0,NA,0,100,100,NA,NA,NA,57,0,50,50,0,0,2.5,100,0,0,71,29,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3948,S,E,NA,NA,NA,426,834,8,9,15,No,4,No,196,Yes,21,No,151,Yes,0,No,39,No,204,Yes,181,Yes,28,No,4,1,45,5,36,0,9,44,43,12,0,30,15,7,No,4,96,96,20,29,NA,99,15,50,18,14,4,2.4,97,3,24,54,22,0,0,446,0,446,174.67771,426,204.48,0,0,55.1,425,136,0,0,36.7,69,13.8,0,0,3.7,0,0,0,0,0,83,4.98,1.3,83,2.49,0.7,83,2.49,0.7,83,6.64,1.8,0,0,0,0,0,0,370.88,0
5380,S,E,NA,NA,NA,175,678,3,1,1,No,3,No,4,No,1,No,77,Yes,0,No,89,Yes,114,Yes,67,Yes,27,No,1,2,3,1,42,0,52,60,42,0,0,37,1,14,No,9,91,92,20,28,NA,75,13,39,27,14,7,2.62,100,0,23,77,0,0,0,193,0,192,167.91314,175,84,0,0,53.7,174,55.68,0,0,35.6,50,10,0,0,6.4,0,0,0,0,0,34,2.04,1.3,34,1.02,0.7,34,1.02,0.7,34,2.72,1.7,0,0,0,0,0,0,156.48,0
6349,S,E,NA,NA,NA,451,694,3,2,99,Yes,2,No,51,No,15,No,203,Yes,4,No,77,Yes,243,Yes,116,Yes,54,No,23,0,12,3,45,1,16,49,48,0,0,28,1,12,No,10,90,96,20,29,NA,79,15,38,29,17,3,2.55,100,0,25,75,0,0,0,502,0,500,167.23343,450,216,0,0,53.3,451,144.32,0,0,35.6,126,25.2,0,0,6.2,0,0,0,0,0,100,6,1.5,100,3,0.7,101,3.03,0.7,101,8.08,2,0,0,0,0,0,0,405.63,0
3747,D,1,NA,NA,NA,19168,810,B,B,727,Yes,144,Yes,6118,Yes,645,Yes,3541,Yes,205,Yes,7675,Yes,3164,Yes,2918,Yes,2091,Yes,4,1,32,3,19,1,40,16,17,9,0,11,8,11,NA,4,96,97,19,30,27,70,3,14,30,34,19,3.53,94,5,8,27,10,21,34,19811,51,19609,NA,12791,6139.68,6339,1901.7,44.3,12782,4090.24,6367,1273.4,29.6,1741,348.2,6309,946.35,7.1,2040,408,4084,918.9,7.3,3580,214.8,1.2,3580,107.4,0.6,3577,107.31,0.6,3576,286.08,1.6,2337,701.1,3.9,2332,699.6,3.9,11701.71,6441.05
8463,S,E,NA,NA,NA,477,760,6,1,17,No,3,No,239,Yes,95,Yes,94,Yes,8,No,21,No,182,Yes,234,Yes,15,No,4,1,49,20,20,2,5,37,44,14,0,44,9,4,No,6,93,94,20,31,NA,74,10,22,37,22,9,3,100,0,21,79,0,0,0,513,0,511,180.18371,477,228.96,0,0,53.2,477,152.64,0,0,35.5,127,25.4,0,0,5.9,0,0,0,0,0,116,6.96,1.6,116,3.48,0.8,116,3.48,0.8,116,9.28,2.2,0,0,0,0,0,0,430.2,0
1767,S,M,NA,NA,NA,219,593,1,6,0,No,0,No,0,No,0,No,219,Yes,0,No,0,No,212,Yes,208,Yes,19,No,0,0,0,0,100,0,0,91,0,0,82,92,4,8,No,3,97,97,NA,23,25,91,74,24,2,0,0,1.29,86,0,0,28,26,46,0,226,0,225,145.43089,219,105.12,0,0,51.1,219,70.08,0,0,34.1,54,10.8,0,0,5.2,46,9.2,0,0,4.5,53,3.18,1.5,52,1.56,0.8,53,1.59,0.8,53,4.24,2.1,0,0,0,0,0,0,205.77,0
1531,S,H,NA,NA,NA,430,683,5,8,0,No,0,No,1,No,4,No,338,Yes,0,No,87,Yes,304,Yes,208,Yes,34,No,0,0,0,1,78,0,20,66,0,4,24,37,15,8,No,3,96,96,NA,NA,22,96,32,22,30,12,4,2.33,75,13,0,0,0,0,100,451,0,450,156.90817,0,0,427,128.1,28.5,0,0,430,86,19.1,0,0,430,64.5,14.4,0,0,266,59.85,13.3,0,0,0,0,0,0,0,0,0,0,0,0,187,56.1,12.5,183,54.9,12.2,0,449.45
641,S,H,NA,NA,NA,450,653,4,3,76,Yes,3,No,33,No,53,No,88,Yes,6,No,190,Yes,101,Yes,35,No,45,No,18,1,7,11,19,1,41,20,0,10,0,5,6,10,No,6,94,94,NA,19,29,90,8,42,34,14,2,2.6,86,7,0,0,0,0,100,481,1,480,158.86696,0,0,450,135,29.3,0,0,450,90,19.5,0,0,447,67.05,14.6,0,0,283,63.675,13.8,0,0,0,0,0,0,0,0,0,0,0,0,177,53.1,11.5,172,51.6,11.2,0,460.425
3764,S,M,NA,NA,NA,644,799,8,2,29,No,11,No,222,Yes,19,No,105,Yes,7,No,249,Yes,89,No,111,No,57,No,5,2,34,3,17,1,38,13,0,12,0,12,11,9,No,4,96,97,NA,28,33,86,2,10,30,42,17,3.61,85,7,0,0,31,69,0,674,0,673,178.3527,642,308.16,0,0,51.1,644,206.08,0,0,34.2,0,0,0,0,0,235,47,0,0,7.8,206,12.36,2.1,206,6.18,1,207,6.21,1,206,16.48,2.7,0,0,0,0,0,0,602.47,0
1222,S,H,NA,NA,NA,1091,704,6,10,5,No,12,No,59,No,3,No,848,Yes,2,No,149,Yes,745,Yes,448,Yes,80,No,1,1,6,0,77,0,14,66,0,8,6,24,22,8,No,7,93,93,NA,NA,28,92,33,27,26,10,4,2.26,95,5,0,0,0,0,100,1176,0,1176,156.3992,0,0,1091,327.3,29.5,0,0,1091,218.2,19.7,0,0,1090,163.5,14.7,0,0,655,147.375,13.3,0,0,0,0,0,0,0,0,0,0,0,0,423,126.9,11.4,420,126,11.4,0,1109.275
6806,S,E,NA,NA,NA,692,828,8,9,79,No,9,No,6,No,9,No,249,Yes,3,No,336,Yes,234,Yes,11,No,38,No,12,1,1,2,36,0,48,33,0,4,0,1,0,5,No,1,99,99,29,30,NA,90,3,24,41,23,10,3.14,97,3,20,62,18,0,0,702,0,702,174.84775,692,332.16,0,0,54.4,691,221.12,0,0,36.2,139,27.8,0,0,4.6,0,0,0,0,0,145,8.7,1.4,145,4.35,0.7,145,4.35,0.7,145,11.6,1.9,0,0,0,0,0,0,610.08,0
901,S,H,NA,NA,NA,1074,802,9,9,4,No,37,No,10,No,4,No,73,No,4,No,940,Yes,127,Yes,1,No,84,No,0,4,1,0,7,0,87,11,0,15,0,0,1,8,No,3,97,98,NA,NA,29,97,2,12,40,31,16,3.46,99,0,0,0,0,0,100,1107,1,1100,171.23303,0,0,1073,321.9,29.5,0,0,1073,214.6,19.7,0,0,1065,159.75,14.6,0,0,691,155.475,14.2,0,0,0,0,0,0,0,0,0,0,0,0,397,119.1,10.9,403,120.9,11.1,0,1091.725
10420,S,E,NA,NA,NA,108,732,5,7,2,No,5,No,1,No,0,No,32,No,0,No,68,Yes,70,Yes,20,No,6,No,2,6,1,0,30,0,59,62,94,4,8,14,5,6,No,13,86,89,19,23,NA,90,31,38,20,6,4,2.14,100,18,26,74,0,0,0,125,0,125,165.0526,108,51.84,0,0,53.4,108,34.56,0,0,35.6,32,6.4,0,0,6.6,0,0,0,0,0,21,1.26,1.3,21,0.63,0.6,21,0.63,0.6,21,1.68,1.7,0,0,0,0,0,0,97,0
3840,S,H,NA,T,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
