,RTYPE,STYPE,SPED,SIZE,CHARTER,VALID_NUM,API05B,ST_RANK,SIM_RANK,AA_NUM,AA_SIG,AI_NUM,AI_SIG,AS_NUM,AS_SIG,FI_NUM,FI_SIG,HI_NUM,HI_SIG,PI_NUM,PI_SIG,WH_NUM,WH_SIG,SD_NUM,SD_SIG,EL_NUM,EL_SIG,DI_NUM,DI_SIG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,P_FDAY,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,YR_RND,SMOB,CBMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,PEN_2,PEN_35,PEN_6,PEN_78,PEN_911,ENROLL,PARENT_OPT,TESTED,SCI,VCST_E28,PCST_E28,VCST_E911,PCST_E911,CW_CSTE,VCST_M28,PCST_M28,VCST_M911,PCST_M911,CW_CSTM,VCST_S28,PCST_S28,VCST_S911,PCST_S911,CW_CSTS,VCST_H28,PCST_H28,VCST_H911,PCST_H911,CW_CSTH,VNRT_R28,PNRT_R28,CW_NRTR,VNRT_L28,PNRT_L28,CW_NRTL,VNRT_S28,PNRT_S28,CW_NRTS,VNRT_M28,PNRT_M28,CW_NRTM,VCHS_E911,PCHS_E911,CW_CHSE,VCHS_M911,PCHS_M911,CW_CHSM,TOT_28,TOT_911
7798,D,2,NA,NA,NA,438,812,B,B,35,No,4,No,59,No,35,No,79,Yes,2,No,218,Yes,90,Yes,30,No,9,No,9,1,18,10,17,1,44,20,14,3,1,7,2,2,NA,17,83,83,18,27,16,95,3,19,32,35,11,3.32,83,6,16,46,13,25,0,530,2,528,NA,438,210.24,0,0,52.5,437,139.84,0,0,34.9,70,14,0,0,3.5,54,10.8,0,0,2.7,129,7.74,1.9,129,3.87,1,128,3.84,1,128,10.24,2.6,0,0,0,0,0,0,400.57,0
3136,S,E,NA,NA,NA,380,797,7,7,161,Yes,1,No,29,No,3,No,104,Yes,0,No,82,Yes,198,Yes,66,Yes,24,No,43,0,8,1,27,0,21,52,51,16,0,17,0,6,No,1,99,100,20,32,NA,14,9,20,35,22,13,3.09,100,4,26,74,0,0,0,385,1,384,173.399,380,182.4,0,0,53.4,379,121.28,0,0,35.5,94,18.8,0,0,5.5,0,0,0,0,0,96,5.76,1.7,96,2.88,0.8,96,2.88,0.8,96,7.68,2.2,0,0,0,0,0,0,341.68,0
1420,S,E,NA,S,NA,31,777,7,NA,0,No,0,No,1,No,0,No,0,No,0,No,29,No,0,No,0,No,7,No,0,0,3,0,0,0,94,0,15,12,0,0,0,21,No,3,97,97,NA,24,NA,64,0,29,14,52,5,3.33,100,0,6,42,21,30,0,33,1,32,NA,31,14.88,0,0,51.3,31,9.92,0,0,34.2,7,1.4,0,0,4.8,4,0.8,0,0,2.8,10,0.6,2.1,10,0.3,1,10,0.3,1,10,0.8,2.8,0,0,0,0,0,0,29,0
1815,D,1,NA,NA,NA,2252,685,B,B,169,Yes,23,No,22,No,30,No,955,Yes,8,No,1032,Yes,1181,Yes,440,Yes,203,Yes,9,1,1,1,42,0,45,50,19,4,7,8,11,9,NA,15,85,86,19,31,29,36,19,32,26,22,1,2.54,88,7,10,30,10,22,28,2616,4,2603,NA,1680,806.4,567,170.1,46.2,1680,537.6,572,114.4,30.9,242,48.4,567,85.05,6.3,260,52,347,78.075,6.2,482,28.92,1.4,482,14.46,0.7,481,14.43,0.7,481,38.48,1.8,205,61.5,2.9,209,62.7,3,1540.69,571.825
572,D,1,NA,NA,NA,333,779,B,B,4,No,2,No,4,No,0,No,144,Yes,2,No,176,Yes,199,Yes,109,Yes,23,No,1,1,1,0,42,1,54,58,19,14,12,16,17,7,NA,4,96,97,19,21,20,75,20,27,33,14,6,2.59,100,0,10,31,11,21,28,346,3,343,NA,241,115.68,92,27.6,45.9,241,77.12,92,18.4,30.6,32,6.4,92,13.8,6.5,36,7.2,51,11.475,6,66,3.96,1.3,66,1.98,0.6,66,1.98,0.6,66,5.28,1.7,36,10.8,3.5,35,10.5,3.4,219.6,92.575
6606,S,E,NA,NA,NA,123,717,4,8,0,No,6,No,0,No,0,No,27,No,0,No,89,Yes,101,Yes,5,No,16,No,0,4,0,0,22,0,73,76,30,2,0,2,1,13,No,19,81,84,19,28,NA,98,41,40,16,1,2,1.84,100,0,20,64,16,0,0,152,0,152,161.71571,123,59.04,0,0,53.9,123,39.36,0,0,35.9,34,6.8,0,0,6.2,0,0,0,0,0,22,1.32,1.2,22,0.66,0.6,22,0.66,0.6,22,1.76,1.6,0,0,0,0,0,0,109.6,0
4657,S,E,NA,NA,NA,375,679,3,7,0,No,5,No,0,No,1,No,316,Yes,0,No,50,No,300,Yes,276,Yes,46,No,0,1,0,0,83,0,14,76,51,3,21,67,9,12,No,6,94,98,20,30,NA,97,47,32,14,5,1,1.81,91,18,26,74,0,0,0,397,0,397,157.34512,375,180,0,0,53.7,375,120,0,0,35.8,87,17.4,0,0,5.2,0,0,0,0,0,90,5.4,1.6,90,2.7,0.8,90,2.7,0.8,90,7.2,2.1,0,0,0,0,0,0,335.4,0
6082,S,E,NA,NA,NA,405,859,9,10,8,No,0,No,6,No,3,No,147,Yes,1,No,240,Yes,136,Yes,75,Yes,61,Yes,2,0,2,1,38,0,57,34,93,9,5,19,3,15,No,8,93,93,19,28,NA,90,11,17,39,24,9,3.02,92,5,25,75,0,0,0,437,1,435,173.86792,405,194.4,0,0,53.7,403,128.96,0,0,35.6,94,18.8,0,0,5.2,0,0,0,0,0,100,6,1.7,100,3,0.8,100,3,0.8,100,8,2.2,0,0,0,0,0,0,362.16,0
9306,S,E,NA,NA,NA,254,661,2,7,1,No,6,No,7,No,0,No,228,Yes,0,No,12,No,240,Yes,226,Yes,18,No,0,3,3,0,90,0,5,84,3,1,10,84,6,7,No,8,92,92,20,25,NA,90,56,26,8,6,3,1.74,100,4,19,60,21,0,0,277,0,277,156.18592,254,121.92,0,0,54.7,254,81.28,0,0,36.4,44,8.8,0,0,3.9,0,0,0,0,0,55,3.3,1.5,55,1.65,0.7,55,1.65,0.7,55,4.4,2,0,0,0,0,0,0,223,0
478,S,E,NA,NA,NA,462,788,7,4,5,No,30,No,8,No,3,No,25,No,1,No,390,Yes,157,Yes,8,No,42,No,2,7,2,1,6,0,84,33,39,3,0,2,0,9,Yes,6,95,95,19,30,NA,93,4,26,40,21,9,3.06,100,0,19,61,20,0,0,488,0,488,174.96977,462,221.76,0,0,54.3,462,147.84,0,0,36.2,99,19.8,0,0,4.8,0,0,0,0,0,96,5.76,1.4,96,2.88,0.7,96,2.88,0.7,96,7.68,1.9,0,0,0,0,0,0,408.6,0
